#,Mod名,mod_id,jar,版本,作者,仓库,置信,依据,其他候选,已反编译,代码行数,卡片
106,女仆的路径剧本,path_script,path_script-1.0.0.jar,1.0.0,,,,候选疑似无关（保留在候选列）,tom-doerr/path_scripts(3)；tom-doerr/path_scripts(3); arjvik/QuPath-Scripting-Tools(3); elijahedmondson/QuPath-scripts(3),Y,4015,path_script-1.0.0.md
107,家具计划,furnitureplan,furnitureplan-0.1.00.jar,0.1.00,"Maker As YEEEEAH~, Jing_qi As DownAndUp",https://github.com/MakerTechno/Forge-FurniturePlan,默认采信,候选默认采信（名称匹配，未经作者声明）,MakerTechno/Forge-FurniturePlan(5),Y,13121,furnitureplan-0.1.00.md
108,展示玩偶（Display Doll）,displaydoll,displaydoll-1.0.0-neoforge+mc26.1.2.jar,1.0.0-neoforge+mc26.1.2,"TartaricAcid, YSBB",https://github.com/teaconmc/DisplayDoll,高,组织仓库,,Y,2163,displaydoll-1.0.0-neoforge+mc26.1.2.md
109,山河同契,bonded_peaks,repo-26.1.2-0.0.1+build.13.jar,0.0.1,Gugle,https://github.com/Gu-ZT/bonded-peaks,默认采信,候选默认采信（名称匹配，未经作者声明）,Gu-ZT/bonded-peaks(5),Y,1230,repo-26.1.2-0.0.1+build.13.md
110,工业基石,industrybase,industrybase-26.1.2-1.0-alpha.jar,1.0-alpha,"Make Minecraft great again!, BinZhengStudio, vvvbb",https://github.com/BinZhengStudio/IndustryBase,高,jar 元数据声明,,Y,9407,industrybase-26.1.2-1.0-alpha.md
111,幻想存有论,gensokyoontology,gensokyoontology-1.0.0.jar,1.0.0,,,,,,Y,10972,gensokyoontology-1.0.0.md
112,急,hurriedness,hurriedness-0.1.jar,0.1,MaxPixelStudios(XiaoPangxie732),https://github.com/XiaoPangxie732/Hurriedness,默认采信,候选默认采信（名称匹配，未经作者声明）,XiaoPangxie732/Hurriedness(6),Y,1708,hurriedness-0.1.md
113,我想加入天际俯冲 Skyward Dive,skywarddive,skywarddive-1.0.0.jar,1.0.0,MarbleGate,https://github.com/MarbleGateKeeper/SkywardDive,默认采信,候选默认采信（名称匹配，未经作者声明）,MarbleGateKeeper/SkywardDive(5),Y,2863,skywarddive-1.0.0.md
114,我的尖塔,minethespire,minethespire-0.0.1.jar,0.0.1,PajangForever,https://github.com/therealhadron/MineTheSpire,默认采信,候选默认采信（名称匹配，未经作者声明）,therealhadron/MineTheSpire(6),Y,7394,minethespire-0.0.1.md
115,拾穗的贸易台,trading_table,trading_table-1.0.0.jar,1.0.0,"HaooooZhang, Aurora_Feather",https://github.com/ChardCur/TradingTable,默认采信,候选默认采信（名称匹配，未经作者声明）,ChardCur/TradingTable(4),Y,7382,trading_table-1.0.0.md
116,拾贰木砧,woodenanvil,woodenanvil-26.1-5e28a9c.jar,26.1-5e28a9c,"maidong0809, 12idea",https://github.com/XII-idea/twelve-wooden-anvil,默认采信,候选默认采信（名称匹配，未经作者声明）,XII-idea/twelve-wooden-anvil(5),Y,327,woodenanvil-26.1-5e28a9c.md
117,撅电报,cc_ms,cc_ms-neoforge-26.1.2-0.1.0.jar,0.1.0,CC2001,https://github.com/C20C01/MorSneak,高,jar 元数据声明,,Y,2795,cc_ms-neoforge-26.1.2-0.1.0.md
118,收获：遗产,harvestheritage,harvestheritage-1.3.4.jar,1.3.4,"theabab2333, Abslb, GTriXy",https://github.com/theabab23333/HarvestHeritage,默认采信,候选默认采信（名称匹配，未经作者声明）,theabab23333/HarvestHeritage(5),Y,4792,harvestheritage-1.3.4.md
119,方块小镇,yuushya,yuushya-26.1-neoforge-2.3.0.jar,2.3.0,"Coco, Xiao2 or XiLaiTL, SQwatermark, XieZai, Hikar",,,,XiLaiTL/Yuushya-Townscape(5); XiLaiTL/Yuushya-Modelling(5); zhongbai2333/YuushyaModellingEnhancedEditor(4),Y,5878,yuushya-26.1-neoforge-2.3.0.md
120,方块建模,yuushya_modelling,yuushya_modelling-26.1.2-2.4.2.jar,2.4.2,"Solid support from the team and the community!, Co",https://github.com/XiLaiTL/Yuushya-Modelling,高,Modrinth（yuushya-modelling）,,Y,14655,yuushya_modelling-26.1.2-2.4.2.md
121,方生未逝,living_unvanished,living_unvanished-1.0.0.jar,1.0.0,qyl27,https://github.com/qyl27/LivingUnvanished,默认采信,候选默认采信（名称匹配，未经作者声明）,qyl27/LivingUnvanished(5),Y,5247,living_unvanished-1.0.0.md
122,无穷桌游,infinite_board_games,infinite_board_games-0.1.jar,0.1,MaxPixelStudios(XiaoPangxie732),https://github.com/XiaoPangxie732/InfiniteBoardGames,默认采信,候选默认采信（名称匹配，未经作者声明）,XiaoPangxie732/InfiniteBoardGames(6),Y,120,infinite_board_games-0.1.md
123,无限地牢（Dungeon-Infinity）,dungeon_infinity,dungeon_infinity-26.1.2.4+teacon.52.jar,26.1.2.4+teacon.52,lcy0x1,https://github.com/Minecraft-LightLand/Dungeon-Infinity,默认采信,补充搜索（score=5，★2）,CacticalWarfare/Dungeon_Infinity(4),Y,12892,dungeon_infinity-26.1.2.4+teacon.52.md
124,更多交互,extra_interaction,extra_interaction-1.0.jar,1.0,Amotassic,https://github.com/Amotassic/Extra-Interaction,默认采信,候选默认采信（名称匹配，未经作者声明）,Amotassic/Extra-Interaction(5),Y,1069,extra_interaction-1.0.md
125,更多的食物,a_better_foods,a-better-foods-neoforge-1.3.0.jar,1.3.0,xiaomian124,https://github.com/xiaomian124/A-Better-Foods,默认采信,候选默认采信（名称匹配，未经作者声明）,xiaomian124/A-Better-Foods(6),Y,153,a-better-foods-neoforge-1.3.0.md
126,更好的打雪仗3：重铸版,bsf3lite,bsf3lite-1.0.0.jar,1.0.0,"Linngdu664, zx1316",,,,,Y,14955,bsf3lite-1.0.0.md
127,更好的鱼竿,better_rod,betterrod-1.0.1.jar,1.0.1,wither_123,https://github.com/wither12345/BetterRodMod,默认采信,候选默认采信（名称匹配，未经作者声明）,wither12345/BetterRodMod(4),Y,3253,betterrod-1.0.1.md
128,最后的上勾拳 One Last Rising Uppercut,olru,olru-0.0.1-alpha.jar,0.0.1-alpha,MarbleGate,https://github.com/MarbleGateKeeper/OneLastRisingUppercut,默认采信,候选默认采信（名称匹配，未经作者声明）,MarbleGateKeeper/OneLastRisingUppercut(5),Y,13715,olru-0.0.1-alpha.md
129,本机正常,womm,womm-1.0.0.jar,1.0.0,Loci_Natit,,,候选疑似无关（保留在候选列）,LNatit/WorksOnMyMachine(5)；LNatit/WorksOnMyMachine(5); nikku/works-on-my-machine(4); v-ji/chr2025-works-on-my-machine(3),Y,1204,womm-1.0.0.md
130,来自深渊：弹药包,cartridge,cartridge-1.1.2.0.jar,1.1.2.0,Thanks to thedarkcolour and all the contributors f,,,候选疑似无关（保留在候选列）,stephenmcd/cartridge(4)；stephenmcd/cartridge(4); unclebacon-live/cartridge(4); kra-mo/cartridges(3),Y,18670,cartridge-1.1.2.0.md
131,枢革墟烬,magic_io,magic_io-1.0.0.jar,1.0.0,,https://github.com/yhzcake/MagicIO,默认采信,候选默认采信（名称匹配，未经作者声明）,yhzcake/MagicIO(5),Y,10976,magic_io-1.0.0.md
132,树脂枪,resin_gun,resin_gun-neoforge-26.1.2-0.0.1+build.12.jar,0.0.1,CR-019 AbraHam_0624,https://github.com/Creative-Raft/resin_gun,高,Modrinth（resin-gun）,,Y,18,resin_gun-neoforge-26.1.2-0.0.1+build.12.md
133,森罗物语：酒馆,kaleidoscope_tavern,kaleidoscopetavern-1.1.2-neoforge+mc26.1.2.jar,1.1.2-neoforge+mc26.1.2,"ysbbbbbb, tartaric_acid",https://github.com/KaleidoscopeMods/KaleidoscopeTavern,高,Modrinth（kaleidoscopetavern）,,Y,13064,kaleidoscopetavern-1.1.2-neoforge+mc26.1.2.md
134,泰拉巨石,terraria_boulders,terraria_boulders-1.0.jar,1.0,"XiaoJin,Txt Text",https://github.com/Magic-team-jvav/TerrariaBoulders,默认采信,候选默认采信（名称匹配，未经作者声明）,Magic-team-jvav/TerrariaBoulders(5),Y,6692,terraria_boulders-1.0.md
135,海瑞的连锁挖矿,dh_s_veinminer,dh_s_veinminer-1.0.13.jar,1.0.13,,https://github.com/Harry-hq/dh_s_veinminer,默认采信,候选默认采信（名称匹配，未经作者声明）,Harry-hq/dh_s_veinminer(5),Y,619,dh_s_veinminer-1.0.13.md
136,深岩银河激光指示器,drglaserpointer,drglaserpointer-1.2.0.jar,1.2.0,"linngdu664, zx1316",https://github.com/linngdu664/DRG-Laser-Pointer-Mod,默认采信,候选默认采信（名称匹配，未经作者声明）,linngdu664/DRG-Laser-Pointer-Mod(5),Y,3545,drglaserpointer-1.2.0.md
137,混沌炼金,transmutatoria,transmutatoria-1.0.0.jar,1.0.0,"linngdu664,zx1316",https://github.com/linngdu664/transmutatoria,默认采信,候选默认采信（名称匹配，未经作者声明）,linngdu664/transmutatoria(5),Y,13855,transmutatoria-1.0.0.md
138,简单跑酷,parkour,parkour-1.0.3+mc26.1.2.jar,1.0.3+mc26.1.2,"【排名不分先后】瑞雪真冬、artemisSystem、alRex_U, arcomit",https://github.com/miyo6032/mobs-attempt-parkour,高,Modrinth（mobs-attempt-parkour）,,Y,10417,parkour-1.0.3+mc26.1.2.md
139,简单路径查找器,simple_path_finder,simple_path_finder-0.1.0-neoforge+mc26.1.2.jar,0.1.0-neoforge+mc26.1.2,,https://github.com/KunoSayo/SimplePathFinder,默认采信,补充搜索（score=5，★1）,drevnyy/simplePathfinder(5); BigJoeTshimpaka/SimplePathFinder(5); Commentsareuseless/SimplePathfinder(4),Y,9716,simple_path_finder-0.1.0-neoforge+mc26.1.2.md
140,纸带八音盒,cc_mb,cc_mb-neoforge-26.1.2-0.5.4.jar,0.5.4,CC2001,https://github.com/C20C01/MusicBox,高,jar 元数据声明,,Y,5856,cc_mb-neoforge-26.1.2-0.5.4.md
141,织影落花,shadowsandpetals,shadowsandpetals-1.0.0.jar,1.0.0,"Shinonome Shakusora, Centurion",https://github.com/SShakusora/ShadowsAndPetals,默认采信,候选默认采信（名称匹配，未经作者声明）,SShakusora/ShadowsAndPetals(5),Y,33445,shadowsandpetals-1.0.0.md
142,网络音乐机：听听B站,net_music_can_play_bili,net_music_can_play_bili-0.7.10-beta.jar,0.7.10-beta,zhongbai233,https://github.com/TartaricAcid/NetMusic,高,人工确认(知名 mod 上游),,Y,102262,net_music_can_play_bili-0.7.10-beta.md
143,美食世界-Delicacy'World,delicacyworld,delicacyworld-0.4.03.jar,0.4.03,DelicacyWorld Team,https://github.com/BlackRuaByte/DelicacyWorld,默认采信,候选默认采信（名称匹配，未经作者声明）,BlackRuaByte/DelicacyWorld(5),Y,28001,delicacyworld-0.4.03.md
144,群青,ultramarine,ultramarine-0.8-snapshot.jar,0.8-snapshot,"Soul_Shadow, LocusAzzurro, See credits file",https://github.com/LocusAzzurro/Ultramarine,高,jar 元数据声明,,Y,13401,ultramarine-0.8-snapshot.md
145,联界门,link_portals,link_portals-1.0.0.jar,1.0.0,haohao0407,https://github.com/haohao-0407/Link-Portals,默认采信,候选默认采信（名称匹配，未经作者声明）,haohao-0407/Link-Portals(6),Y,1281,link_portals-1.0.0.md
146,舌战群儒,spitfight,spitfight-1.0.0.jar,1.0.0,redColmula55,https://github.com/redColmula55/spit-fight-neoforge,默认采信,候选默认采信（名称匹配，未经作者声明）,redColmula55/spit-fight-neoforge(5),Y,1080,spitfight-1.0.0.md
147,节气,eclipticseasons,EclipticSeasons-26.1.2-neoforge-0.14.1.2.1.jar,0.14.1.2.1,"joe_vettek(jianzoushihu), Sam_Chai, RoitoLeonine",https://github.com/TeamTeaMC/Ecliptic-Seasons,默认采信,补充搜索（score=5，★29）,TeamTeaMC/Ecliptic-Seasons-MultiMod-Patch(4); pwazta/Ecliptic-Seasons-Pams-Harvestcraft-2-Compat(4); TeamTeaMC/Ecliptic-Seasons-Docs(3),Y,55621,EclipticSeasons-26.1.2-neoforge-0.14.1.2.1.md
148,苇原,ashihara,ashihara-0.0.0.15.jar,0.0.0.15,,https://github.com/Kogasa-Studio/Ashihara,默认采信,候选默认采信（名称匹配，未经作者声明）,Kogasa-Studio/Ashihara(5),Y,34184,ashihara-0.0.0.15.md
149,藿香,ageratum,ageratum-neoforge-26.1.2-0.0.1+pr.22.jar,0.0.1+pr.22,Gugle,https://github.com/Anvil-Dev/Ageratum,高,组织仓库,,Y,14669,ageratum-neoforge-26.1.2-0.0.1+pr.22.md
150,蜂会,beecrasy,beecrasy-1.0.0.jar,1.0.0,"[IEEMTS]khjxiaogu,Lyuuke",https://github.com/khjxiaogu/Beecrasy,默认采信,候选默认采信（名称匹配，未经作者声明）,khjxiaogu/Beecrasy(6),Y,23054,beecrasy-1.0.0.md
151,街头主义 The Streetism,thestreetism,thestreetism-2668-debug.jar,2668-debug,cuitteacon,https://github.com/cuitteacon2026/thestreetism,默认采信,候选默认采信（名称匹配，未经作者声明）,cuitteacon2026/thestreetism(5),Y,14386,thestreetism-2668-debug.md
152,袖里舆图,aleeve_atlas,aleeve_atlas-0.0.1.jar,0.0.1,Gugle,https://github.com/Gu-ZT/aleeve-atlas,默认采信,候选默认采信（名称匹配，未经作者声明）,Gu-ZT/aleeve-atlas(5),Y,3529,aleeve_atlas-0.0.1.md
153,让我看看,let_me_see_see,let_me_see_see-1.3.10.jar,1.3.10,xkball,https://github.com/xkball/LetMeSeeSee,默认采信,候选默认采信（名称匹配，未经作者声明）,xkball/LetMeSeeSee(5),Y,19755,let_me_see_see-1.3.10.md
154,贴贴,nestle,nestle-0.1.2-neoforge+mc26.1.2.jar,0.1.2-neoforge+mc26.1.2,,,,候选疑似无关（保留在候选列）,microsoft/nestle-acne-assessment(4)；kbarbary/nestle(4); microsoft/nestle-acne-assessment(3); chilitechno/SiriProxy-NestLearningThermostat(3),Y,3849,nestle-0.1.2-neoforge+mc26.1.2.md
155,超级管道速滑 SuperPipeSlide,superpipeslide,superpipeslide-0.4.0-beta.jar,0.4.0-beta,MarbleGate,https://github.com/MarbleGateKeeper/SuperPipeSlide,默认采信,候选默认采信（名称匹配，未经作者声明）,MarbleGateKeeper/SuperPipeSlide(5),Y,102817,superpipeslide-0.4.0-beta.md
156,车万女仆,touhou_little_maid,touhoulittlemaid-2.0.0-neoforge+mc26.1.2-all.jar,2.0.0-neoforge+mc26.1.2,"Verclene, ZUN, TartaricAcid, Snownee, Succinum, Pa",https://github.com/TartaricAcid/TouhouLittleMaid,高,jar 元数据声明,,Y,149998,touhoulittlemaid-2.0.0-neoforge+mc26.1.2-all.md
157,进阶四叶草 Advanced Clover,advanced_clover,advanced_clover-1.0.2.jar,1.0.2,luoxueyasha,https://github.com/luoxueyasha/AdvancedClover,默认采信,候选默认采信（名称匹配，未经作者声明）,luoxueyasha/AdvancedClover(5),Y,1210,advanced_clover-1.0.2.md
158,铁砧工艺,anvilcraft,anvilcraft-neoforge-26.1.2-1.6.0+build.374.jar,1.6.0+build.374,"Gugle,XeKr",https://github.com/Anvil-Dev/AnvilCraft,高,jar 元数据声明,,Y,198222,anvilcraft-neoforge-26.1.2-1.6.0+build.374.md
159,铁砧工艺：天猫行空,voidinair,anvilcraft-voidinair-neoforge-26.1.2-1.1.1+build.25.jar,1.1.1+build.25,QiuShui1012,https://github.com/QiuShui1012/AnvilCraft-VoidInAir,高,jar 元数据声明,,Y,3150,anvilcraft-voidinair-neoforge-26.1.2-1.1.1+build.25.md
160,铁砧工艺：猪+,anvilcraft_pigsplus,anvilcraft_pigsplus-neoforge-2.0.4+pr.23.jar,2.0.4+pr.23,TB_pig,https://github.com/Anvil-Dev/AnvilCraft,中,组织仓库（同族/父项目）,,Y,6912,anvilcraft_pigsplus-neoforge-2.0.4+pr.23.md
161,铁砧工艺：猫+!,nekoplus,anvilcraft-nekoplus-26.1.1-alpha.1.jar,26.1.1-alpha.1,"ZhuRuoLing, MercuryGryph",https://github.com/ZhuRuoLing/nekoplus,高,jar 元数据声明,,Y,13519,anvilcraft-nekoplus-26.1.1-alpha.1.md
162,铁砧工艺：额外电力 | Anvilcraft-ExtraPower,anvilcraftextrapower,anvilcraftextrapower-neoforge-1.6.7+pr.17.jar,1.6.7+pr.17,Leaden_TP,https://github.com/Anvil-Dev/AnvilCraft,中,组织仓库（同族/父项目）,,Y,6510,anvilcraftextrapower-neoforge-1.6.7+pr.17.md
163,随笔评论 WorldComment,worldcomment,WorldComment-neoforge-0.7.0-beta.1+26.1.2.jar,0.7.0-beta.1,Zbx1425,https://github.com/zbx1425/WorldComment,高,jar 元数据声明,,Y,10903,WorldComment-neoforge-0.7.0-beta.1+26.1.2.md
164,高人一等,manabove,manabove-0.0.4.jar,0.0.4,", Zershyan",https://github.com/Zershyan/ManAbove,高,jar 元数据声明,,Y,1335,manabove-0.0.4.md
